mae,rmse,spearman_rho,kendall_tau,rank_accuracy,n_rows,n_cases,outer_fold,held_case,best_val_loss,n_train_rows_after_augmentation
0.0336150576426939,0.041953668613721934,-0.5,-0.33333333333333337,0.0,3,1,1,R01,0.00439397944137454,168
0.03942979630233553,0.04799170809701271,-0.5,-0.33333333333333337,0.0,3,1,2,R02,0.004240706562995911,168
0.03284980094069597,0.03914283158786409,0.5,0.33333333333333337,1.0,3,1,3,R03,0.004105525556951761,168
0.03647946557857066,0.04152264419247802,0.5,0.33333333333333337,1.0,3,1,4,R04,0.004016556777060032,168
0.05075724810701602,0.060540133048115445,-0.5,-0.33333333333333337,0.0,3,1,5,R05,0.005952667444944382,168
0.04222356887292359,0.04511343621432554,1.0,1.0,1.0,3,1,6,R06,0.0030408974271267653,168
0.03324619151303251,0.04470169655517534,1.0,1.0,1.0,3,1,7,R07,0.00365186994895339,168
0.02038514286289565,0.020909254407179226,0.5,0.33333333333333337,1.0,3,1,8,R08,0.0021845134906470776,168
0.02482518460132969,0.02747350848399911,0.5,0.33333333333333337,1.0,3,1,9,R09,0.0051617748104035854,168
0.03682029295842756,0.03844259711339486,0.5,0.33333333333333337,1.0,3,1,10,R10,0.011086204089224339,168
0.012566980747930537,0.015138737937091964,1.0,1.0,1.0,3,1,11,R11,0.0039072344079613686,168
0.038864145043154386,0.046765522232333094,0.5,0.33333333333333337,1.0,3,1,12,R12,0.011049695312976837,168
0.038657778836655075,0.0472587410283524,1.0,1.0,1.0,3,1,13,R13,0.0025052546989172697,168
0.016095091690487135,0.019987096865680405,1.0,1.0,1.0,3,1,14,R14,0.005072212778031826,168
0.02367195618815221,0.027796112306215766,1.0,1.0,1.0,3,1,15,R15,0.005030546337366104,168
0.044941470984691256,0.045229577893834035,0.5,0.33333333333333337,1.0,3,1,16,R16,0.01610580086708069,168
0.030190950182626814,0.0377437876529674,1.0,1.0,1.0,3,1,17,R17,0.005224986933171749,168
0.019676225422367577,0.02410009053475236,0.5,0.33333333333333337,1.0,3,1,18,R18,0.00619254307821393,168
0.032300946020969445,0.036713046112135314,0.5,0.33333333333333337,1.0,3,1,19,R19,0.004074684344232082,168
