,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,sigma1_mpa,delta_mm,Ap
X1,0.08379959,0.056086708,0.026301345,0.0600426,0.063371174,0.06699217,0.046009142,0.0,0.0,0.0,0.0,0.19791734,0.19703011,0.20244981
X2,0.08134085,0.046576668,0.028223038,0.060173128,0.06551615,0.06949305,0.0484083,0.0,0.0,0.0,0.0,0.20352355,0.19870469,0.19804054
X3,0.08532209,0.060142033,0.019191638,0.046616167,0.0657231,0.072354116,0.047261186,0.0,0.0,0.0,0.0,0.21964139,0.18441655,0.19933172
X4,0.08577672,0.05536747,0.024162944,0.05763514,0.06496333,0.06819742,0.045596488,0.0,0.0,0.0,0.0,0.18835956,0.20609915,0.20384178
X5,0.0883044,0.056690443,0.022218045,0.059172742,0.06480055,0.0658553,0.049556166,0.0,0.0,0.0,0.0,0.18957365,0.20176876,0.20205994
X6,0.084672,0.056377944,0.018788863,0.060019787,0.06457019,0.06578988,0.04588605,0.0,0.0,0.0,0.0,0.1913385,0.21182413,0.20073268
X7,0.08140809,0.047284324,0.03193085,0.061685763,0.06457933,0.06893096,0.046893332,0.0,0.0,0.0,0.0,0.19890258,0.1994365,0.19894826
X8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09459684,0.09541457,0.09437471,0.13580541,0.1372219,0.22805603,0.21453054
X9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09077372,0.12336184,0.11128624,0.11185374,0.13906093,0.21998963,0.20367396
X10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07107754,0.082360834,0.08701652,0.1236987,0.13818032,0.25495258,0.24271356
X11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113761954,0.1166804,0.08394224,0.13059448,0.12636831,0.2254167,0.20323591
sigma1_mpa,0.06863922,0.026431367,0.0053021875,0.03128724,0.017134761,0.0112062525,0.0047653313,0.04166572,0.044894777,0.042254508,0.055615894,0.19934058,0.19956177,0.2519004
delta_mm,0.07812563,0.029005954,0.0077911387,0.040241636,0.019846715,0.01521077,0.0060942024,0.030901289,0.044273503,0.03680783,0.04578559,0.19148779,0.20136434,0.2530636
Ap,0.05667184,0.030986102,0.0055206413,0.033389535,0.030916447,0.025090182,0.009961954,0.05587224,0.046346262,0.04389759,0.06743838,0.18478402,0.18573138,0.22339341
